id,name,description,is_fixed,rule,country,created_at
c44c7fc0-544e-4eb7-bf53-4ba3a3382eef,Orthodoxes Neujahr,"Beginn des neuen Jahres nach dem julianischen Kalender, gefeiert in Ländern wie Russland und Serbien.",true,"{""day"": 14, ""month"": 1}",INT,2026-01-14 17:30:28.374896+01
fca31401-583e-4245-98e8-83f0568778b3,Makar Sankranti,Hinduistisches Erntedankfest zu Ehren des Sonnengottes Surya; markiert das Ende des Winters.,true,"{""day"": 14, ""month"": 1}",IN,2026-01-14 17:30:28.374896+01
e360b640-a652-4845-a690-bc731199a894,Ratification Day,"Gedenktag zur Ratifizierung des Friedens von Paris (1784), der den US-Unabhängigkeitskrieg offiziell beendete.",true,"{""day"": 14, ""month"": 1}",US,2026-01-14 17:30:28.374896+01
67cc0ab8-d6a1-48dd-82d7-87d05a934e21,Zieh-dein-Haustier-an-Tag,"Ein von Colleen Paige ins Leben gerufener Aktionstag, um Haustiere spielerisch (und sicher) einzukleiden.",true,"{""day"": 14, ""month"": 1}",INT,2026-01-14 17:30:28.374896+01
1472d231-0c27-4d59-85c0-30747cb7e51a,Schaff-Ordnung-in-Deiner-Wohnung-Tag,"Inoffizieller Aktionstag (Organize Your Home Day), der dazu motiviert, das neue Jahr mit Ausmisten zu beginnen.",true,"{""day"": 14, ""month"": 1}",INT,2026-01-14 17:30:28.374896+01
e110f95b-a9b7-4152-8667-97a81e1c4f79,Neujahrstag,Erster Tag des Kalenderjahres in fast allen Kulturen; gesetzlicher Feiertag in Deutschland.,true,"{""day"": 1, ""month"": 1}",DE,2026-01-14 17:32:07.923231+01
f1734777-e719-4c73-b5a2-8cc84eab8716,Welttag des Friedens,Von Papst Paul VI. eingeführter Gedenktag der römisch-katholischen Kirche für den Weltfrieden.,true,"{""day"": 1, ""month"": 1}",INT,2026-01-14 17:32:07.923231+01
b102b113-4003-41dd-9759-488489616101,Hochfest der Gottesmutter Maria,"Ein bedeutendes Marienfest der katholischen Kirche, das den Oktavtag von Weihnachten markiert.",true,"{""day"": 1, ""month"": 1}",INT,2026-01-14 17:32:07.923231+01
1e560f52-b06c-4764-8085-7ce5021cf1db,Unabhängigkeitstag Haitis,Gedenktag zur Ausrufung der Unabhängigkeit von Frankreich im Jahr 1804.,true,"{""day"": 1, ""month"": 1}",HT,2026-01-14 17:32:07.923231+01
bdc181e4-3045-4bae-ae11-b90448dab209,Tag der Gründung der Slowakischen Republik,Nationalfeiertag zur Erinnerung an die friedliche Teilung der Tschechoslowakei im Jahr 1993.,true,"{""day"": 1, ""month"": 1}",SK,2026-01-14 17:32:07.923231+01
4129adf2-7c56-4c2e-901e-837310542d7c,Einführung des Euro-Bargelds,Historischer Jahrestag: Am 1. Januar 2002 wurde das Euro-Bargeld in 12 EU-Ländern offizielles Zahlungsmittel.,true,"{""day"": 1, ""month"": 1}",EU,2026-01-14 17:32:07.923231+01
0e7bc711-72cf-4881-87f1-e283be81809d,Berchtoldstag,"Traditioneller Feiertag in der Schweiz und Liechtenstein, benannt nach Herzog Berchtold V. von Zähringen.",true,"{""day"": 2, ""month"": 1}",CH,2026-01-14 17:33:58.765322+01
1c37562f-c63a-45cc-8047-77abc6a6b735,Tag der Ahnen,"Gedenktag zu Ehren der Vorfahren und derer, die für die Unabhängigkeit Haitis gekämpft haben.",true,"{""day"": 2, ""month"": 1}",HT,2026-01-14 17:33:58.765322+01
bc946ba5-c4e2-4257-8d2d-5eb366ab3ccb,Tag der Einnahme Granadas,"Gedenktag zur Kapitulation der Stadt Granada im Jahr 1492, was das Ende der maurischen Herrschaft markierte.",true,"{""day"": 2, ""month"": 1}",ES,2026-01-14 17:33:58.765322+01
f1158b26-f9a2-4e99-ad77-15cc150a6b33,Science Fiction Day,"Inoffizieller Aktionstag zu Ehren des Autors Isaac Asimov, der an diesem Tag geboren wurde.",true,"{""day"": 2, ""month"": 1}",INT,2026-01-14 17:33:58.765322+01
7817370a-2bf1-4697-8828-3472814ecd8e,National Buffet Day,"Ein kulinarischer Aktionstag, der dazu einlädt, die Reste der Feiertage oder neue Speisen am Buffet zu genießen.",true,"{""day"": 2, ""month"": 1}",US,2026-01-14 17:33:58.765322+01
3c84c3f1-c4bc-4eb1-8003-fb769a4ad61b,Aufnahme Alaskas in die USA,Gedenktag zur Proklamation Alaskas als 49. Bundesstaat der Vereinigten Staaten durch Präsident Eisenhower im Jahr 1959.,true,"{""day"": 3, ""month"": 1}",US,2026-01-14 17:36:29.78668+01
8ae61384-3c69-4431-b165-30766c3f5640,J.R.R. Tolkien Day,"Geburtstag des ""Herr der Ringe""-Autors (1892). Fans weltweit feiern den Professor mit einem Toast um 21 Uhr.",true,"{""day"": 3, ""month"": 1}",INT,2026-01-14 17:36:29.78668+01
8861ef7e-c2a1-446a-a1ac-c0472d7e6c9c,Festival of Sleep Day,"Ein inoffizieller Aktionstag, der dazu einlädt, sich nach dem Stress der Feiertage auszuschlafen und zu entspannen.",true,"{""day"": 3, ""month"": 1}",INT,2026-01-14 17:36:29.78668+01
